לפסיכומטרי,באנגלית,,מילים,אוצר,
,,,,,
A,,,,,
abbreviate,,לקצר,,,
abdomen,,בטן,,,
ability,,יכולת,,,
abnormal,,לא נורמלי,,,
abolish,,לבטל,,,
above,,מעל,,,
absolute,,"מוחלט, מושלם",,,
absolutely,,באופן מוחלט,,,
absorb,,"לקלוט, לספוג, להתעמק",,,
absorbent,,בעל כושר ספיגה,,,
absorption,,ספיגה,,,
abundant,,בשפע,,,
abuse,,לנצל/להשתמש לרעה,,,
accelerate,,להאיץ,,,
accept,,"לקבל, להסכים",,,
acceptable,,מקובל,,,
acceptance,,קבלה,,,
access,,"גישה, כניסה",,,
accessibility,,נגישות,,,
accessible,,נגיש,,,
accessory,,"מסייע, מאפשר, שותף , אביזר",,,
accompany,,"להתלוות, ללוות",,,
accomplish,,"לבצע, להשיג",,,
accomplished,,"מוכשר, בעל הישגים",,,
accomplishment,,"הישג, השלמה",,,
according to,,על פי,,,
accordingly,,בהתאם לכך,,,
account,,"חשבון בנק, דין וחשבון",,,
account for,,להסביר,,,
accountable,,אחראי,,,
accumulate,,להצטבר' לצבור,,,
accumulation,,הצטברות,,,
accumulative,,מצטבר,,,
accurate,,"מדוייק, דייקן",,,
accurately,,בדייקנות,,,
achievable,,ניתן להשגה,,,
achieve,,"להשיג, להשלים",,,
achievement,,הישג,,,
acquire,,"לרכוש, להשיג",,,
actual,,"עובדתי, אמיתי, ממשי",,,
acute,,"רציני, חמור, אנוש, קריטי",,,
adapt,,"להתאים, לעבד, לסגל",,,
adaptable,,שאפשר להתאימו,,,
adaptation,,"הסתגלות, התאמה",,,
address,,כתובת,,,
adhere to,,לדבוק ב...,,,
adherence,,"דבקות, הידבקות",,,
adjust,,"לכוון, להסתגל",,,
administer,,לנהל,,,
administration,,"ניהול, מנהל",,,
administrative,,ניהולי,,,
administrator,,מנהל,,,
admit,,להודות,,,
admit into,,להכניס,,,
admittance,,"הודאה, הכנסה",,,
admittedly,,"מוסכם, לכל הדעות",,,
adolescence,,נעורים' גיל ההתבגרות,,,
adopt,,לאמץ,,,
advance,,"התקדמות, להתקדם, מקדמה",,,
advantage,,יתרון,,,
advantageous,,מועיל,,,
adversary,,יריב,,,
advertise,,לפרסם,,,
advertisement,,"פרסומת, פרסום",,,
advice,,עצה,,,
advocate,,"לסנגר, לדגול ב...",,,
affect,,להשפיע,,,
affection,,חיבה,,,
afflict,,לייסר,,,
afford,,להרשות לעצמך,,,
against,,נגד,,,
age,,גיל,,,
agenda,,סדר יום,,,
aggression,,תוקפנות,,,
aggressive,,"תוקפני, אגרסיבי",,,
agree,,להסכים,,,
agriculture,,חקלאות,,,
aim,,"מטרה, כיוון, לכוון, להתעתד",,,
air,,אוויר,,,
airplane,,מטוס,,,
airport,,שדה תעופה,,,
alert,,"אזעקה, מצב היכון, להזהיר, ער, מוכן",,,
alertness,,"עירנות, דריכות",,,
alien,,חוצן,,,
allegedly,,לכאורה,,,
allow,,להרשות,,,
allow for,,להביא בחשבון,,,
allowable,,מותר,,,
allowance,,"דמי כיס, קצבה",,,
ally,,"בעל ברית, לחבור, להתחבר",,,
also,,גם,,,
alternate,,"לסירוגין, חלופי",,,
although,,אף על פי כן,,,
ambiguity,,"דו משמעות, עמימות",,,
ambiguous,,"עמום, דו משמעי",,,
ambition,,"שאפתנות, שאיפה",,,
ambitious,,"שאפתן, בעל שאיפות",,,
ambivalence,,רגשות סותרים,,,
ambivalent,,בעל משמעויות סותרות,,,
amiss,,לא כשורה,,,
ammunition,,תחמושת,,,
among (amongst),,"בקרב, בין כמה דברים, נמנה עם",,,
amount,,"סכום, להסתכם",,,
ancestor,,אב קדמון,,,
ancient,,עתיק,,,
annex,,"אגף, תוספת, לספח, לצרף",,,
annoy,,להרגיז,,,
anxiety,,חרדה,,,
anxious,,"חרד, מודאג, משתוקק",,,
apartment,,דירה,,,
appear,,"להיראות, להופיע",,,
applaud,,"להריע, למחוא כף",,,
apply,,"להגיש בקשה, להגיש מועמדות, לשים, להפעיל",,,
apposite,,"מתאים מאד, הולם",,,
appreciate,,להעריך,,,
approach,,"להתקדם, לגשת, התקדמות, גישה, לפנות",,,
appropriate,,"נאות, מתאים, להקציב, לקחת לעצמו",,,
appropriately,,"באופן הולם, בצורה נאותה",,,
approval,,"אישור, הסכמה",,,
approve,,"להסכים, לאשר",,,
argue,,"להתווכח, לטעון",,,
argument,,"טיעון, ויכוח",,,
argumentative,,וכחן,,,
arise,,"לקום, לנבוע",,,
arm,,זרוע,,,
aroma,,ניחוח,,,
arouse,,לעורר,,,
arrange,,לסדר,,,
arrangement,,סידור,,,
arrive,,להגיע,,,
arrogant,,"יהיר, שחצן",,,
art,,אומנות,,,
ascertain,,"לברר, לוודא",,,
ascribe,,"לייחס, לשייך",,,
assault,,"לתקוף, תקיפה, התקפה",,,
assembly,,הרכבה,,,
assert,,"לעמוד על, להכריז, לתבוע",,,
assertion,,טענה תקיפה,,,
assertive,,החלטי,,,
assertively,,באופן החלטי,,,
asset,,נכס,,,
assign,,למנות,,,
assimilate,,"לספוג, להיטמע",,,
associated,,"מקושר, מתלווה ל...",,,
assume,,"להניח, לקבל על עצמו",,,
assumption,,הנחה,,,
astonish,,"מדהים, להדהים",,,
at least,,לפחות,,,
attach,,"לחבר, להיות קשור ל...",,,
attack,,לתקוף,,,
attain,,להשיג,,,
attempt,,"לנסות, ניסיון",,,
attend,,"לטפל, להיות נוכח",,,
attendance,,נוכחות,,,
attention,,תשומת לב,,,
attitude,,גישה,,,
attorney,,עורך דין,,,
attract,,למשוך,,,
attraction,,משיכה,,,
attractive,,מושך,,,
attribute,,"לייחס, תכונה, סמל",,,
audacious,,נועז,,,
audience,,"קהל, ראיון",,,
aunt,,דודה,,,
authentic,,"אמיתי, מקורי",,,
authenticity,,"אותנטיות, אמיתיות",,,
author,,"סופר, יוצר",,,
authoritative,,סמכותי,,,
authority,,"סמכות, רשות מנהלית",,,
autumn,,סתיו,,,
available,,פנוי,,,
avarice,,תאוות בצע,,,
avaricious,,תאב בצע,,,
avoid,,להימנע מ...,,,
aware,,מודע,,,
awareness,,מודעות,,,
awe,,יראת כבוד,,,
awe inspiring,,מעורר יראת כבוד,,,
axis,,ציר,,,
azure,,תכלת,,,
